wall_type,floor_area_m2,total_wall_area_m2,labor_count,duration_days
Concrete Block,162.4,311.8,2,19
Brick,252.7,419.1,4,20
Brick,227.4,331.3,7,12
Brick,160.2,328.4,13,10
Brick,173.3,283.9,7,14
Concrete Block,253.1,457.6,4,17
Brick,228.7,361.6,5,15
Brick,220.9,443.3,7,16
Brick,117.1,207.8,10,8
Concrete Block,221.3,397.4,15,8
Concrete Block,144.3,247.2,9,7
Brick,116.4,195.9,4,14
Brick,159.6,287.1,20,8
Concrete Block,162.5,266.2,17,6
Concrete Block,253.1,457.6,15,9
Concrete Block,253.1,457.6,7,12
Brick,158.7,282.5,5,14
Concrete Block,202.9,365.5,13,8
Concrete Block,110.8,212.9,10,6
Concrete Block,151.8,311.1,11,9
Concrete Block,218.1,418.9,10,10
Brick,213.8,354.6,17,9
Brick,208.2,330.9,4,18
Brick,215.3,404.8,18,10
Brick,131.6,238.9,10,9
Concrete Block,120.5,233.9,15,6
Brick,221.9,420.3,2,27
Concrete Block,199.3,400.8,3,18
Brick,141.2,262.3,10,9
Concrete Block,177.2,332.6,6,13
Brick,154.3,230.1,13,8
Concrete Block,156.4,274.2,15,6
Brick,190.8,330.2,2,28
Concrete Block,202.9,365.5,12,8
Brick,217.5,394.8,6,18
Concrete Block,190.6,341.1,10,8
Brick,183.8,353.1,19,9
Brick,178.7,309.7,3,19
Brick,181.2,357,20,9
Brick,145.7,269,2,20
Brick,205.1,378.2,10,12
Brick,181.2,357,12,11
Concrete Block,143.5,240.4,20,6
Brick,180.7,281.2,3,18
Brick,133.6,261.5,20,9
Concrete Block,170.8,309.1,18,7
Brick,166.5,302.1,20,8
Brick,255.1,402.1,5,16
Brick,184.1,300.8,2,24
Concrete Block,225.3,364.4,13,8
Brick,116.4,195.9,7,11
Concrete Block,137.3,237.4,12,6
Concrete Block,221.3,397.4,14,8
Brick,214.6,409.1,9,13
Brick,145.6,264.1,12,9
Brick,264.9,481.7,17,11
Concrete Block,260.9,433.5,18,8
Concrete Block,102.3,154.5,8,6
Brick,117.5,208.8,5,11
Brick,181.2,357,16,9
Brick,257.2,433.9,14,12
Concrete Block,137.3,237.4,16,6
Concrete Block,102.3,154.5,11,5
Brick,190.8,330.2,11,11
Concrete Block,151.7,247.2,16,6
Concrete Block,178.7,293.1,20,6
Brick,221.9,386.7,7,13
Brick,142.1,261.9,17,8
Brick,260.2,428.5,17,10
Brick,229.3,381,4,19
Brick,264.9,481.7,16,12
Brick,249.7,454.4,10,15
Brick,133.6,261.5,9,12
Brick,159.6,287.1,13,10
Brick,221.9,420.3,4,18
Brick,145.6,264.1,6,13
Brick,210.5,415.2,6,15
Brick,249.7,454.4,16,12
Concrete Block,144.3,247.2,12,7
Concrete Block,162.4,311.8,11,8
Concrete Block,160.6,251.7,20,6
Concrete Block,162.4,311.8,13,7
Concrete Block,219.1,443.9,12,10
Brick,218.4,425.4,8,13
Brick,217.5,394.8,17,11
Brick,208.2,330.9,7,13
Brick,252.7,419.1,20,9
Concrete Block,190.6,341.1,13,7
Brick,166.6,248.9,15,9
Brick,232.9,365.7,14,11
Brick,214.6,409.1,12,11
Brick,264.9,481.7,20,11
Brick,255.1,402.1,17,9
Brick,145.7,269,18,8
Concrete Block,235.4,425,14,9
Brick,116.4,195.9,2,20
Concrete Block,177.2,332.6,15,8
Concrete Block,177.2,332.6,10,10
Brick,232.6,470.4,5,18
Brick,145.6,264.1,13,9
Brick,229.3,381,3,23
Brick,260.2,428.5,12,11
Brick,180.7,281.2,16,9
Brick,178.7,309.7,6,13
Brick,157.3,239.5,13,8
Concrete Block,260.9,433.5,8,12
Brick,131.6,238.9,7,11
Concrete Block,137.3,237.4,6,8
Brick,142.1,261.9,6,12
Brick,208.2,330.9,16,9
Brick,232.6,470.4,10,13
Concrete Block,219.1,443.9,19,8
Brick,190.8,330.2,16,10
Concrete Block,160.6,251.7,5,10
Concrete Block,132.1,240.9,14,7
Brick,218.4,425.4,15,10
Brick,270.8,500,4,24
Brick,255.1,402.1,9,12
Concrete Block,151.7,247.2,13,7
Brick,186.7,357.2,13,11
Brick,210.5,415.2,16,10
Brick,116.4,195.9,11,9
Concrete Block,251.4,453.2,19,8
Brick,249.7,454.4,15,13
Concrete Block,218.1,418.9,14,9
Brick,134,270.6,11,9
Brick,186.7,357.2,8,14
Brick,180.7,281.2,7,12
Brick,205.1,378.2,17,10
Brick,173.3,283.9,4,19
Concrete Block,195.3,351.6,20,7
Concrete Block,219.1,443.9,18,8
Brick,117.1,207.8,15,7
Brick,116.4,195.9,17,8
Brick,133.6,261.5,5,16
Brick,173.3,283.9,18,9
Brick,257.2,433.9,12,13
Brick,178.7,309.7,11,10
Concrete Block,160.6,251.7,2,17
Brick,200.6,366.5,20,9
Brick,173.3,283.9,11,11
Brick,142.1,261.9,10,10
Brick,233.6,358.7,20,9
Brick,249.8,454.7,12,13
Brick,213.4,348.4,19,8
Concrete Block,202.5,370.7,18,7
Brick,240.9,408.8,9,13
Concrete Block,251.4,453.2,9,11
Brick,249.7,454.4,2,40
Brick,180.7,281.2,19,8
Brick,133.1,287.8,9,12
Brick,117.5,208.8,16,8
Brick,183.8,353.1,6,14
Brick,218.3,393.4,17,9
Brick,186.7,357.2,11,12
Brick,223.2,346,7,15
Brick,249.8,454.7,17,11
Brick,240.9,408.8,18,9
Brick,249.7,454.4,4,26
Concrete Block,162.4,311.8,14,7
Brick,255.1,402.1,11,11
Brick,141.2,262.3,14,8
Brick,200.6,366.5,13,11
Brick,183.8,353.1,14,10
Brick,117.1,207.8,18,7
Concrete Block,137.3,237.4,13,6
Concrete Block,171.1,317.8,9,9
Brick,154.3,230.1,12,8
Concrete Block,151.7,247.2,18,6
Brick,228.7,361.6,15,9
Brick,181.2,357,13,10
Brick,141.5,225.2,13,8
Brick,240.9,408.8,7,14
Brick,116.4,195.9,18,8
Concrete Block,132.1,240.9,13,7
Concrete Block,144.3,247.2,15,6
Concrete Block,202.5,370.7,5,12
Concrete Block,177.2,332.6,16,8
Brick,180.7,281.2,11,10
Brick,212.4,371.4,7,15
Concrete Block,156.4,274.2,17,6
Brick,172.4,327.8,9,11
Brick,212.4,371.4,4,20
Brick,233.1,398.6,10,12
Concrete Block,190.6,341.1,9,9
Concrete Block,190.6,341.1,15,7
Concrete Block,199.3,400.8,9,10
Brick,233.6,358.7,8,13
Brick,208.7,324.1,14,9
Brick,208.2,330.9,12,11
Brick,183.8,353.1,8,13
Brick,144,230.4,10,9
Brick,173.3,283.9,5,17
Brick,229.3,381,13,11
Concrete Block,132.1,240.9,2,20
Brick,208.2,330.9,6,15
Brick,220.9,443.3,5,19
Brick,269.5,500,17,11
Concrete Block,195.3,351.6,4,16
Brick,160.2,328.4,11,10
Concrete Block,199.3,400.8,8,11
Brick,218.3,393.4,9,12
Brick,181.2,357,15,10
Concrete Block,218.1,418.9,18,8
Brick,221.9,386.7,19,9
Concrete Block,151.8,311.1,15,8
Brick,172.2,333.9,6,15
Brick,252.7,419.1,16,10
Concrete Block,162.4,311.8,17,7
Concrete Block,151.8,311.1,6,12
Brick,131.6,238.9,16,8
Concrete Block,145.7,215.3,8,7
Brick,186.7,357.2,17,10
Brick,144,230.4,4,14
Concrete Block,178.7,293.1,3,13
Brick,255.1,402.1,15,10
Concrete Block,225.3,364.4,7,11
Brick,184.1,300.8,6,13
Concrete Block,171.1,317.8,16,7
Brick,252.7,419.1,3,23
Brick,120,201.5,17,7
Concrete Block,120.5,233.9,3,11
Brick,205.1,378.2,14,11
Brick,205.1,378.2,8,14
Brick,147.3,258.9,17,8
Brick,172.2,333.9,19,9
Brick,249.7,454.4,9,16
Concrete Block,156.4,274.2,19,6
Brick,142.1,261.9,13,9
Concrete Block,157.6,309.3,5,13
Concrete Block,251.4,453.2,17,8
Concrete Block,219.1,443.9,11,10
Brick,180.7,281.2,15,9
Brick,214.6,409.1,4,20
Concrete Block,219.1,443.9,7,13
Brick,159.6,287.1,8,12
Brick,270.8,500,2,36
Concrete Block,102.3,154.5,18,5
Brick,262.5,500,12,13
Brick,91.9,141.9,4,9
Concrete Block,156.4,274.2,13,7
Brick,181.2,357,19,9
Brick,96,186.3,13,8
Brick,141.2,262.3,20,8
Concrete Block,151.8,311.1,17,7
Brick,173.3,283.9,14,10
Brick,218.3,393.4,18,9
Brick,214.6,409.1,16,10
Concrete Block,219.6,429.2,2,24
Brick,159.6,287.1,9,11
Concrete Block,202.5,370.7,4,13
Brick,181.2,357,9,12
Concrete Block,202.5,370.7,19,7
Brick,142.1,261.9,20,8
Brick,167.4,304.8,13,9
Brick,117.1,207.8,19,7
Brick,233.6,358.7,17,10
Concrete Block,260.2,420.5,10,10
Brick,260.2,428.5,6,15
Brick,232.6,470.4,7,15
Concrete Block,162.5,266.2,19,6
Brick,184.1,300.8,8,12
Brick,197.6,343,17,9
Brick,172.4,327.8,15,9
Brick,167.4,304.8,18,8
Brick,269.5,500,11,13
Concrete Block,203.2,352,7,10
Concrete Block,102.3,154.5,10,6
Brick,197.6,343,6,15
Brick,269.5,500,15,11
Brick,134,270.6,10,9
Brick,160.2,328.4,9,11
Brick,181.2,357,7,14
Brick,269.5,500,14,11
Brick,154.3,230.1,15,8
Brick,200.6,366.5,20,9
Concrete Block,253.1,457.6,17,8
Brick,184.1,300.8,3,19
Brick,133.6,261.5,6,14
Concrete Block,203.2,352,11,8
Concrete Block,110.8,212.9,12,6
Brick,131.6,238.9,17,8
Brick,178.3,300.5,5,14
Brick,269.5,500,7,16
Brick,212.4,371.4,8,14
Concrete Block,244.3,388.4,7,11
Brick,240.9,408.8,12,11
Brick,115.4,200.3,2,17
Brick,215.3,404.8,2,33
Brick,133.1,287.8,20,9
Concrete Block,178.7,293.1,5,10
Concrete Block,178.7,293.1,4,11
Brick,115.4,200.3,11,8
Concrete Block,170.8,309.1,11,8
Concrete Block,202.5,370.7,9,9
Brick,255.1,402.1,13,10
Brick,262.5,500,9,15
Concrete Block,219.1,443.9,10,11
Brick,221.9,420.3,17,9
Concrete Block,170.8,309.1,10,9
Concrete Block,195.3,351.6,8,11
Concrete Block,160.6,251.7,9,8
Brick,160.2,328.4,12,10
Brick,208.7,324.1,19,8
Brick,220.9,443.3,20,10
Brick,208.2,330.9,17,9
Brick,200.6,366.5,18,9
Brick,213.8,354.6,18,9
Brick,232.9,365.7,4,19
Brick,213.4,348.4,17,9
Concrete Block,219.1,443.9,14,9
Concrete Block,137.3,237.4,20,6
Brick,178.7,309.7,16,9
Brick,257.2,433.9,10,14
Concrete Block,174.5,317.1,16,8
Concrete Block,219.6,429.2,9,10
Concrete Block,178.7,293.1,10,7
Concrete Block,151.8,311.1,3,18
Brick,157.3,239.5,7,10
Concrete Block,219.6,429.2,3,18
Brick,184.1,300.8,10,11
Concrete Block,162.4,311.8,8,9
Brick,180.7,281.2,5,14
Brick,166.6,248.9,3,17
Brick,91.9,141.9,5,9
Concrete Block,244.3,388.4,2,23
Brick,232.9,365.7,3,23
Concrete Block,143.5,240.4,3,11
Brick,232.9,365.7,7,14
Concrete Block,251.4,453.2,4,18
Concrete Block,260.9,433.5,17,9
Brick,159.6,287.1,6,13
Concrete Block,253.1,457.6,18,8
Brick,227.4,331.3,14,9
Concrete Block,203.2,352,16,7
Brick,276.2,477.7,11,13
Concrete Block,260.9,433.5,2,28
Brick,253.9,439.4,12,12
Brick,190.8,330.2,14,10
Brick,147.3,258.9,18,8
Brick,141.2,262.3,13,9
Brick,217.5,394.8,9,14
Brick,158.7,282.5,3,18
Concrete Block,174.5,317.1,12,9
Brick,183.8,353.1,18,9
Concrete Block,202.9,365.5,14,8
Brick,134,270.6,14,8
Concrete Block,174.5,317.1,10,10
Brick,212.4,371.4,12,12
Brick,117.1,207.8,14,8
Brick,141.5,225.2,10,8
Concrete Block,144.3,247.2,18,6
Brick,227.4,331.3,10,10
Concrete Block,170.8,309.1,17,7
Brick,127.6,226,11,9
Brick,113.6,190.5,17,7
Brick,115.4,200.3,19,7
Brick,249.8,454.7,20,11
Brick,220.9,443.3,14,12
Brick,117.1,207.8,20,7
Brick,223.2,346,12,11
Brick,213.8,354.6,8,13
Brick,141.5,225.2,20,7
Brick,117.5,208.8,11,8
Concrete Block,171.1,317.8,2,19
Brick,210.5,415.2,12,11
Concrete Block,218.1,418.9,5,15
Brick,270.8,500,3,28
Brick,180.7,281.2,14,9
Brick,120,201.5,16,7
Brick,208.2,330.9,18,9
Brick,229.3,381,10,12
Concrete Block,253.1,457.6,2,26
Brick,200.6,366.5,9,13
Concrete Block,203.2,352,6,10
Brick,276.2,477.7,20,10
Brick,116.4,195.9,3,16
Brick,127.6,226,20,7
Brick,178.7,309.7,13,10
Brick,140.4,227.7,14,8
Concrete Block,162.5,266.2,4,11
Brick,249.8,454.7,6,19
Concrete Block,174.5,317.1,13,9
Brick,184.1,300.8,12,10
Brick,116.4,195.9,12,9
Concrete Block,178.7,293.1,8,8
Brick,172.4,327.8,17,9
Brick,154.3,230.1,2,17
Brick,223.2,346,13,11
Concrete Block,207.1,332.8,15,8
Brick,117.1,207.8,3,14
Concrete Block,157.6,309.3,11,9
Brick,232.6,470.4,11,12
Brick,172.4,327.8,20,8
Concrete Block,151.7,247.2,17,6
Concrete Block,195.3,351.6,7,12
Brick,158.7,282.5,11,10
Brick,269.5,500,10,13
Brick,140.4,227.7,16,8
Concrete Block,221.3,397.4,11,9
Brick,172.2,333.9,9,12
Brick,145.7,269,8,10
Brick,113.6,190.5,12,8
Brick,205.1,378.2,18,10
Concrete Block,219.6,429.2,14,8
Brick,180.7,281.2,20,8
Brick,91.9,141.9,8,8
Concrete Block,110.8,212.9,6,8
Concrete Block,199.3,400.8,16,8
Brick,212.4,371.4,18,10
Brick,232.6,470.4,18,10
Concrete Block,170.8,309.1,3,16
Concrete Block,156.4,274.2,16,6
Brick,116.4,195.9,10,9
Brick,233.1,398.6,15,10
Brick,145.7,269,12,9
Brick,160.2,328.4,14,9
Concrete Block,144.3,247.2,4,11
Concrete Block,120.5,233.9,5,9
Brick,232.6,470.4,14,11
Brick,127.6,226,16,8
Concrete Block,190.6,341.1,8,9
Brick,229.3,381,8,13
Concrete Block,102.3,154.5,12,5
Brick,131.6,238.9,20,7
Concrete Block,110.8,212.9,20,6
Concrete Block,170.8,309.1,6,11
Concrete Block,251.4,453.2,16,9
Brick,221.9,386.7,10,11
Concrete Block,143.5,240.4,6,8
Concrete Block,177.2,332.6,2,26
Brick,133.1,287.8,3,22
Brick,173.3,283.9,12,11
Concrete Block,143.5,240.4,19,6
Concrete Block,156.4,274.2,6,9
Brick,269.5,500,9,14
Brick,213.8,354.6,7,14
Brick,117.5,208.8,6,11
Brick,218.3,393.4,11,11
Brick,220.9,443.3,15,11
Concrete Block,160.6,251.7,8,8
Brick,140.4,227.7,6,11
Brick,221.9,420.3,3,21
Brick,257.2,433.9,8,15
Brick,233.1,398.6,11,12
Concrete Block,246.5,387.4,19,6
Concrete Block,157.6,309.3,17,7
Concrete Block,162.5,266.2,6,9
Concrete Block,235.4,425,8,11
Brick,141.5,225.2,3,13
Concrete Block,145.7,215.3,7,8
Brick,113.6,190.5,2,17
Brick,96,186.3,12,8
Brick,91.9,141.9,20,6
Brick,113.6,190.5,13,8
Concrete Block,170.8,309.1,20,7
Brick,197.6,343,8,13
Brick,96,186.3,2,17
Brick,190.4,369.7,3,23
Brick,212.4,371.4,2,30
Brick,221.9,386.7,2,25
Brick,212.4,371.4,11,12
Concrete Block,162.4,311.8,5,11
Concrete Block,110.8,212.9,17,6
Brick,141.5,225.2,6,10
Brick,276.2,477.7,7,16
Concrete Block,151.7,247.2,19,6
Concrete Block,202.5,370.7,3,16
Concrete Block,195.3,351.6,10,10
Brick,233.6,358.7,6,15
Brick,183.8,353.1,20,9
Brick,117.5,208.8,19,7
Brick,228.7,361.6,6,14
Concrete Block,162.5,266.2,15,6
Brick,232.9,365.7,20,9
Brick,157.3,239.5,12,8
Brick,264.9,481.7,7,18
Concrete Block,160.6,251.7,14,7
Brick,144,230.4,7,11
Brick,190.8,330.2,10,12
Brick,183.8,353.1,15,10
Brick,141.5,225.2,2,16
Brick,140.4,227.7,20,7
Brick,218.4,425.4,6,15
Brick,180.7,281.2,19,8
Brick,116.4,195.9,20,7
Brick,218.3,393.4,16,9
Concrete Block,202.5,370.7,12,8
Brick,260.2,428.5,9,13
Concrete Block,219.1,443.9,20,8
Brick,227.4,331.3,2,23
Brick,159.6,287.1,18,9
Brick,215.3,404.8,5,19
Brick,186.7,357.2,2,29
Concrete Block,156.4,274.2,6,9
Brick,183.8,353.1,17,9
Concrete Block,219.1,443.9,16,9
Brick,205.1,378.2,19,9
Brick,229.3,381,20,9
Brick,173.3,283.9,6,15
Brick,134,270.6,19,8
Brick,221.9,386.7,8,12
Brick,213.8,354.6,15,10
Brick,172.4,327.8,4,17
Brick,115.4,200.3,7,10
Brick,115.4,200.3,5,11
Concrete Block,260.2,420.5,9,11
Concrete Block,171.1,317.8,8,9
Brick,140.4,227.7,8,10
Concrete Block,160.6,251.7,17,6
Brick,166.5,302.1,3,20
Brick,167.4,304.8,5,13
Brick,116.4,195.9,16,8
Concrete Block,160.6,251.7,4,12
Concrete Block,132.1,240.9,17,7
Brick,221.9,386.7,20,8
Concrete Block,151.8,311.1,13,8
Brick,133.6,261.5,8,12
Concrete Block,132.1,240.9,10,8
Brick,208.2,330.9,2,27
Concrete Block,219.1,443.9,17,8
Brick,140.4,227.7,4,13
Brick,223.2,346,20,9
Brick,232.9,365.7,9,13
Brick,172.2,333.9,4,18
Concrete Block,203.2,352,15,7
Brick,145.6,264.1,19,8
Concrete Block,195.3,351.6,19,7
Concrete Block,207.1,332.8,10,9
Concrete Block,157.6,309.3,4,15
Concrete Block,151.7,247.2,2,16
Brick,221.9,386.7,11,11
Brick,255.1,402.1,20,9
Brick,200.6,366.5,10,12
Brick,133.1,287.8,5,16
Brick,178.7,296,16,9
Brick,220.9,443.3,8,15
Brick,260.2,428.5,15,10
Concrete Block,144.3,247.2,8,8
Concrete Block,225.3,364.4,11,9
Brick,269.5,500,13,12
Concrete Block,151.7,247.2,20,6
Brick,232.9,365.7,16,10
Brick,96,186.3,8,9
Brick,116.4,195.9,9,10
Brick,197.6,343,10,12
Concrete Block,195.3,351.6,12,9
Brick,184.1,300.8,11,10
Brick,96,186.3,18,7
Brick,178.3,300.5,14,9
Concrete Block,219.6,429.2,7,11
Brick,167.4,304.8,2,21
Concrete Block,235.4,425,3,20
Brick,147.3,258.9,3,17
Brick,232.6,470.4,16,11
Brick,145.6,264.1,20,8
Brick,178.7,296,15,9
Concrete Block,160.6,251.7,16,6
Concrete Block,156.4,274.2,8,8
Concrete Block,219.1,443.9,14,9
Brick,116.4,195.9,15,8
Brick,249.8,454.7,3,28
Concrete Block,246.5,387.4,20,6
Brick,160.2,328.4,15,9
Concrete Block,199.3,400.8,10,9
Concrete Block,151.7,247.2,3,13
Concrete Block,110.8,212.9,3,11
Concrete Block,202.5,370.7,2,20
Concrete Block,170.8,309.1,19,7
Concrete Block,203.2,352,17,7
Brick,120,201.5,13,8
Brick,159.6,287.1,10,11
Brick,260.2,428.5,2,29
Brick,133.1,287.8,15,10
Brick,91.9,141.9,18,6
Concrete Block,219.1,443.9,2,28
Concrete Block,203.2,352,12,8
Concrete Block,144.3,247.2,19,6
Brick,214.6,409.1,5,17
Concrete Block,170.8,309.1,5,12
Concrete Block,162.4,311.8,18,6
Brick,190.4,369.7,18,10
Concrete Block,151.7,247.2,9,8
Brick,145.6,264.1,15,9
Brick,210.5,415.2,20,9
Concrete Block,218.1,418.9,11,10
Brick,120,201.5,4,12
Concrete Block,202.9,365.5,10,9
Concrete Block,102.3,154.5,13,5
Brick,227.4,331.3,8,11
Brick,218.3,393.4,2,26
Brick,218.3,393.4,10,11
Brick,218.4,425.4,18,9
Brick,208.7,324.1,17,9
Brick,270.8,500,19,11
Brick,260.2,428.5,10,12
Brick,249.8,454.7,5,21
Brick,257.2,433.9,15,11
Brick,269.5,500,4,22
Brick,269.5,500,19,10
Concrete Block,260.2,420.5,5,15
Brick,144,230.4,13,8
Brick,117.5,208.8,17,7
Concrete Block,199.3,400.8,18,7
Concrete Block,157.6,309.3,20,7
Brick,178.7,296,4,16
Brick,240.9,408.8,4,19
Brick,144,230.4,20,7
Brick,276.2,477.7,2,32
Brick,249.8,454.7,19,11
Brick,221.9,420.3,13,10
Concrete Block,246.5,387.4,18,7
Brick,184.1,300.8,5,14
Brick,134,270.6,16,8
Concrete Block,137.3,237.4,2,14
Brick,233.1,398.6,5,17
Brick,205.1,378.2,5,17
Brick,208.7,324.1,6,14
Brick,173.3,283.9,3,22
Concrete Block,137.3,237.4,19,6
Brick,147.3,258.9,7,12
Brick,131.6,238.9,13,9
Brick,205.1,378.2,12,11
Brick,131.6,238.9,18,8
Brick,221.9,420.3,7,13
Concrete Block,137.3,237.4,9,7
Brick,208.7,324.1,7,13
Concrete Block,102.3,154.5,2,10
Brick,262.5,500,11,14
Brick,173.3,283.9,16,10
Brick,158.7,282.5,7,12
Brick,166.6,248.9,6,12
Concrete Block,246.5,387.4,12,8
Brick,178.7,309.7,4,16
Concrete Block,219.6,429.2,20,7
Concrete Block,244.3,388.4,5,13
Brick,147.3,258.9,2,22
Concrete Block,195.3,351.6,4,16
Brick,264.9,481.7,10,15
Brick,221.9,386.7,19,9
Brick,232.9,365.7,17,10
Concrete Block,221.3,397.4,19,7
Brick,167.4,304.8,19,8
Concrete Block,160.6,251.7,19,6
Brick,131.6,238.9,12,9
Brick,260.2,428.5,4,19
Concrete Block,190.6,341.1,4,13
Brick,208.7,324.1,16,9
Brick,270.8,500,8,16
Brick,116.4,195.9,14,8
Concrete Block,225.3,364.4,9,10
Brick,252.7,419.1,6,16
Concrete Block,162.5,266.2,3,12
Brick,240.9,408.8,2,29
Brick,200.6,366.5,14,10
Concrete Block,221.3,397.4,20,7
Brick,218.4,425.4,16,10
Concrete Block,219.6,429.2,4,15
Brick,221.9,386.7,6,14
Brick,117.5,208.8,13,8
Brick,212.4,371.4,17,10
Brick,205.1,378.2,19,9
Brick,213.4,348.4,18,9
Concrete Block,174.5,317.1,17,8
Concrete Block,253.1,457.6,16,8
Concrete Block,151.8,311.1,16,8
Brick,166.6,248.9,16,8
Brick,221.9,420.3,18,9
Brick,113.6,190.5,16,7
Concrete Block,144.3,247.2,3,13
Brick,147.3,258.9,3,17
Brick,186.7,357.2,3,23
Brick,262.5,500,20,11
Concrete Block,218.1,418.9,4,17
Brick,233.6,358.7,2,28
Brick,91.9,141.9,11,7
Concrete Block,137.3,237.4,3,11
Concrete Block,199.3,400.8,6,12
Brick,255.1,402.1,16,10
Concrete Block,178.7,293.1,14,7
Concrete Block,251.4,453.2,15,9
Concrete Block,219.6,429.2,16,8
Brick,210.5,415.2,19,9
Brick,142.1,261.9,12,9
Brick,192.1,307.6,20,8
Concrete Block,225.3,364.4,5,14
Concrete Block,132.1,240.9,3,16
Brick,213.8,354.6,3,22
Concrete Block,162.5,266.2,3,12
Brick,197.6,343,2,28
Brick,120,201.5,18,7
Brick,223.2,346,15,10
Concrete Block,162.5,266.2,9,7
Concrete Block,151.7,247.2,7,9
Brick,260.2,428.5,9,13
Concrete Block,253.1,457.6,8,12
Brick,173.3,283.9,20,9
Brick,233.1,398.6,4,19
Brick,96,186.3,11,8
Concrete Block,157.6,309.3,7,11
Concrete Block,102.3,154.5,16,5
Concrete Block,132.1,240.9,9,9
Brick,117.1,207.8,4,12
Brick,190.8,330.2,15,10
Brick,154.3,230.1,9,9
Brick,221.9,420.3,2,27
Concrete Block,251.4,453.2,3,21
Concrete Block,151.8,311.1,20,7
Brick,240.9,408.8,5,17
Concrete Block,219.1,443.9,6,14
Brick,183.8,353.1,16,9
Brick,180.7,281.2,17,8
Brick,233.6,358.7,16,10
Concrete Block,219.6,429.2,10,9
Concrete Block,160.6,251.7,7,9
Concrete Block,235.4,425,11,10
Brick,192.1,307.6,17,9
Brick,208.7,324.1,4,17
Brick,213.4,348.4,12,10
Brick,217.5,394.8,19,10
Brick,190.8,330.2,8,13
Concrete Block,202.5,370.7,10,8
Concrete Block,203.2,352,19,6
Brick,117.1,207.8,16,7
Brick,91.9,141.9,12,7
Brick,120,201.5,16,7
Brick,205.1,378.2,2,29
